entity_id,entity_raw,entity_text,dominant_relation,pca_x,pca_y,tsne_x,tsne_y
10476,/m/023zl,/m/023zl,education educational degree people with this degree. education education institution,0.18108876,0.17399508,8.249,-13.004072
1824,/m/031n8c,/m/031n8c,location location contains,0.3001392,0.045935452,19.719006,-22.776972
409,/m/06jzh,/m/06jzh,award award nominee award nominations. award award nomination award nominee,-0.6813429,0.16342217,-53.304558,13.920426
12149,/m/032s66,/m/032s66,people cause of death people,0.382317,-0.011928618,27.457033,1.2275662
4506,/m/01pcdn,/m/01pcdn,base popstra celebrity dated. base popstra dated participant,-0.51447535,0.28886032,-38.9015,14.22261
4012,/m/01y8cr,/m/01y8cr,film actor film. film performance film,-0.3199776,0.24271435,-25.810343,15.923528
3657,/m/023znp,/m/023znp,education educational institution students graduates. education education student,0.26887375,0.1186223,13.240445,-8.968299
2286,/m/03pn9,/m/03pn9,location location adjoin s. location adjoining relationship adjoins,0.2995398,-0.22673965,6.5402293,-37.46925
12066,/m/0cv2m,/m/0cv2m,base aareas schema administrative area administrative parent,0.39946586,0.063067496,14.622675,-22.653522
1679,/m/028cg00,/m/028cg00,film film other crew. film film crew gig film crew role,0.33091235,-0.30510777,51.918613,-6.3503094
11087,/m/0bm9xk,/m/0bm9xk,award award nominee award nominations. award award nomination award nominee,0.13886498,0.25655997,1.0145359,7.831915
12135,/m/045xh,/m/045xh,award award nominee award nominations. award award nomination award,-0.35357827,-0.101216346,-24.856577,-19.939474
8935,/m/08j7lh,/m/08j7lh,film film release date s. film film regional release date film release region,0.30989814,-0.16138694,48.874187,3.644401
1424,/m/051kv,/m/051kv,location statistical region religions. location religion percentage religion,-0.37829506,-1.0136801,-12.892083,-35.86568
9674,/m/0bzrsh,/m/0bzrsh,time event locations,0.23548605,0.15183514,10.087919,-13.445312
6912,/m/027571b,/m/027571b,award award winning work awards won. award award honor award,-0.6124812,-0.5319618,-26.314663,-25.564022
520,/m/03lpp_,/m/03lpp_,sports sports team roster. baseball baseball roster position position,0.12398873,0.22787797,-7.36465,0.46790957
488,/m/01gvr1,/m/01gvr1,award award winner awards won. award award honor award winner,-0.4803018,0.2813931,-38.851254,13.610943
1535,/m/0170pk,/m/0170pk,award award nominee award nominations. award award nomination award nominee,-0.7186318,0.15241486,-49.945427,11.82507
3582,/m/0d_wms,/m/0d_wms,award award nominated work award nominations. award award nomination nominated for,0.47385406,-0.40955237,55.82341,-11.018443
3811,/m/031q3w,/m/031q3w,education educational institution students graduates. education education student,0.35006994,0.06969464,19.899706,5.31512
8279,/m/02y7sr,/m/02y7sr,music record label artist,-0.3368373,0.20403564,-34.24906,24.521198
9863,/m/0p76z,/m/0p76z,music genre artists,-0.4477725,-0.090201676,-40.849617,29.287062
434,/m/04ztj,/m/04ztj,people person spouse s. people marriage type of union,-0.5197364,-1.3910155,-13.361002,-38.508568
9195,/m/035nm,/m/035nm,business job title people with this title. business employment tenure company,0.11960827,0.28721863,-5.144975,-0.4159278
3257,/m/082gq,/m/082gq,film film genre,-0.5626245,-1.2778738,-14.888882,-39.85152
11731,/m/02h400t,/m/02h400t,business business operation industry,0.016603336,0.29824865,-7.1988516,8.414189
10647,/m/0jrv_,/m/0jrv_,music genre artists,0.42705178,0.0045250654,20.700848,-9.676904
11490,/m/021y1s,/m/021y1s,location location contains,0.10992719,0.21378154,-9.602075,0.56890815
8928,/m/0crs0b8,/m/0crs0b8,film film release date s. film film regional release date film release region,0.4330268,0.0128496885,29.90856,-1.3030553
6873,/m/02vq8xn,/m/02vq8xn,people person employment history. business employment tenure company,0.2242542,0.18159658,3.3756783,-2.4817
