simplified_sentence,head_entity,tail_entity,relation
Hinge caused Kindle crack,hinge,crack,cause_effect
Rains caused Hiroshima disaster,disaster,rains,cause_effect
Crop failure led famine,famine,failure,cause_effect
Selling licenses generates revenues,revenues,selling,cause_effect
Viruses cause ordinary warts,warts,viruses,cause_effect
Therapy prevents brain injury,injury,therapy,cause_effect
Thought caused person anxiety,anxiety,thought,cause_effect
Massacre resulted in onslaught,massacre,onslaught,cause_effect
Proliferation caused various lymphomas,lymphomas,proliferation,cause_effect
Cholesterol cause heart disease,cholesterol,disease,cause_effect
Bankers caused public distress,distress,bankers,cause_effect
Narrowing caused blood pressure,pressure,narrowing,cause_effect
Ceasefire produced relative calm,calm,ceasefire,cause_effect
Papillomavirus caused neck cancers,cancers,papillomavirus,cause_effect
Fog caused race cancellation,fog,cancellation,cause_effect
Execution starts binary infection,infection,execution,cause_effect
Chemicals cause stress anxiety,chemicals,anxiety,cause_effect
Consumption resulted behaviour,behaviour,consumption,cause_effect
Treatment produced harm,harm,treatment,cause_effect
Pain killers caused headaches,headaches,pain killers,cause_effect
Protests turning into revolution,protests,revolution,cause_effect
Drought caused brown areas,brown areas,drought,cause_effect
Civil war caused damage,damage,war,cause_effect
Current generated magnetic field,magnetic field,current,cause_effect
Patriots radiated carefree confidence,patriots,confidence,cause_effect
Physician caused many deaths,deaths,physician,cause_effect
Burnt food set alarm,burnt food,alarm,cause_effect
Change caused natural disasters,disasters,change,cause_effect
Earthquake caused building fire,fire,earthquake,cause_effect
Measuring starts continuous improvement,improvement,measuring,cause_effect
Virus caused liver cancer,cancer,virus,cause_effect
Bike-accident caused severe injuries,injuries,bike-accident,cause_effect
Meltdown caused chain reaction,reaction,meltdown,cause_effect
Generator derived rf signal,signal,generator,cause_effect
Fog lead to disorientation,fog,disorientation,cause_effect
Drinks cause heart diabetes,drinks,diabetes,cause_effect
Dryness minimize skin wrinkles,wrinkles,dryness,cause_effect
Selling explosives created fortune,fortune,selling,cause_effect
Snow lead to spill,snow,spill,cause_effect
Fungus caused scalp ringworm,ringworm,fungus,cause_effect
Earthquake generated strong tsunami,tsunami,earthquake,cause_effect
Murders result in execution,murders,execution,cause_effect
Crisis caused Asia pain,pain,crisis,cause_effect
Aftershocks caused panic injuries,panic,aftershocks,cause_effect
Destruction triggered barbarian invasions,invasions,destruction,cause_effect
Cigarettes cause nausea,cigarettes,nausea,cause_effect
Rains caused acidity increase,increase,rains,cause_effect
Dancing find heart happiness,happiness,dancing,cause_effect
Pain killers caused tension,tension,headaches,cause_effect
Hurricanes mitigate retroactive damage,damage,hurricanes,cause_effect
Addiction lead to neglect,addiction,neglect,cause_effect
Caffeine withdrawal caused headaches,headaches,caffeine withdrawal,cause_effect
Faults caused cancellations,faults,cancellations,cause_effect
War caused insecurity poverty,insecurity,war,cause_effect
Stress causes headaches tension,tension,headaches,cause_effect
Anxiety reaction caused cramps,cramps,anxiety reaction,cause_effect
Jackpot hit made him joy,Jackpot,joy,cause_effect
Bombing caused home destruction,destruction,bombing,cause_effect
Spell caused minimal threat,threat,spell,cause_effect
Charge source electric field,charge,field,cause_effect
Corruption lead to outrage,outrage,corruption,cause_effect
Earthquake caused seafloor buckling,buckling,earthquake,cause_effect
Radiation induced ulceration recurrence,recurrence,radiation,cause_effect
Injury caused discomfort,discomfort,injury,cause_effect
Device instigates connection termination,device,termination,cause_effect
Radiation exposures caused cancers,cancers,radiation exposures,cause_effect
Crisis caused damage,damage,crisis,cause_effect
Earthquake caused marsh drop,earthquake,marsh,cause_effect
Operation resulted in arrest,operation,arrest,cause_effect
Breakthroughs bring scientific progress,progress,breakthroughs,cause_effect
Advertisements resulted in murders,advertisements,murders,cause_effect
Wound came infection,infection,wound,cause_effect
Ointment caused discomfort,discomfort,ointment,cause_effect
Lavas lead violent eruption,lavas,eruption,cause_effect
Accident poorly planned evacuation,evacuation,accident,cause_effect
Incubation produces reduction,incubation,reduction,cause_effect
Amphibolites developed soil properties,properties,amphibolites,cause_effect
Bombing produced worst carnage,bombing,carnage,cause_effect
Virus caused plantar warts,warts,virus,cause_effect
Depression caused insomnia,insomnia,depression,cause_effect
Soaps caused skin irritation,irritation,soaps,cause_effect
Colds caused fevers aches,fevers,colds,cause_effect
Purchase created greater satisfaction,satisfaction,purchase,cause_effect
Insoles caused hot spot,insoles,spot,cause_effect
Negligence caused ground accident,accident,negligence,cause_effect
Shock waves produced afterglow,afterglow,shock waves,cause_effect
Breeding consists of concealing,breeding,concealing,cause_effect
Vaccine caused temperature elevation,vaccine,temperature elevation,cause_effect
Experiences stemmed militancy,militancy,experiences,cause_effect
Death caused abandonment,death,abandonment,cause_effect
Developer crafted adventure,developer,adventure,cause_effect
Germs lead to sickness,germs,sickness,cause_effect
Inflation resulted banking profits,profits,inflation,cause_effect
Cow makes sound,cow,sound,cause_effect
Soya farming produces deforestation,soya farming,deforestation,cause_effect
Development arose from conflicts,conflicts,development,cause_effect
Recession caused hardship,hardship,recession,cause_effect
Asteroid caused boom shaking,boom,asteroid,cause_effect
Virus causes tonsillitis,virus,tonsillitis,cause_effect
Eruption triggered earthquake,earthquake,eruption,cause_effect
Bacteria caused food infection,infection,bacteria,cause_effect
Stress corrosion available,stress,corrosion,cause_effect
Crash caused seismic event,crash,seismic event,cause_effect
Germs cause diarrhea,germs,diarrhea,cause_effect
Fireplace radiating warmth,warmth,fireplace,cause_effect
Heat produced steam,steam,heat,cause_effect
Infections cause rash,infections,rash,cause_effect
Media makes mistake,media,mistake,cause_effect
Loss causes dehydration,dehydration,loss,cause_effect
Acupuncture lasts relief,relief,acupuncture,cause_effect
Cards in box,cards,box,in
Suitcase full of oranges,suitcase,oranges,in
Bowl contained apples,bowl,apples,in
Bottle full of chemicals,bottle,chemicals,in
Currency hidden in buckets,currency,buckets,in
Insert inside machine,insert,machine,in
Pizza dough in bin,pizza dough,bin,in
Anthrax in suitcase,anthrax,suitcase,in
Suitcase is full body parts,suitcase,body parts,in
Suitcase full of props,suitcase,props,in
Plastic container in cabinet,plastic container,cabinet,in
Drawer contained phial,drawer,phial,in
Disc enclosed in paper,disc,paper,in
Money inside mattress,mattress,money,in
Box in desk drawer,box,desk drawer,in
Cheesecake inside container,cheesecake,container,in
Fertilizer in package,fertilizer,package,in
Group in refrigerator,group,refrigerator,in
Bomb in suitcase,bomb,suitcase,in
Apple in bottle,bottle,apple,in
Ball in bin,ball,bin,in
Mixes in box,mixes,box,in
Key in pouch,key,pouch,in
Water in bottle,bottle,water,in
Brain inside skull,brain,skull,in
Dress in trunk,dress,trunk,in
Fetus in box,fetus,box,in
Player inside silicone case,player,silicone case,in
Cellophane bag dog treats,cellophane bag,dog treats,in
Monitor enclosed in lid,monitor,lid,in
Backflap in suitcase,backflap,suitcase,in
Ball in basket,ball,basket,in
Locker contained robe,locker,robe,in
Teeth in wallet,teeth,wallet,in
Cereal in bottle,bottle,cereal,in
Suitcase included gym shoes,suitcase,gym shoes,in
Gas in container,gas,container,in
Slice in beaker,slice,beaker,in
Blood in bottle,blood,bottle,in
Assemblies stored in cask,assemblies,cask,in
Loot in box,loot,box,in
Stomach included apple mash,stomach,apple mash,in
Suitcase with cash,suitcase,cash,in
Toothpaste in jar,toothpaste,jar,in
Ferrets in sack,ferrets,sack,in
Garment in reliquary,garment,reliquary,in
Water in jar,water,jar,in
Bag in sack,bag,sack,in
Contents included cell phone,contents,cell phone,in
Bag with condoms,bag,condoms,in
Letter inside pocket notebook,letter,pocket notebook,in
Shelves contained books,shelves,books,in
Boxes included phone cards,boxes,phone cards,in
Clay in membrane tubing,clay,membrane tubing,in
Kitchen contains salt,kitchen,salt,in
Ballot box ballots,ballot box,ballots,in
Data in database,data,database,in
Body in mat,body,mat,in
Slide in beaker,slide,beaker,in
Painting in crate,painting,crate,in
Database contents images,database,images,in
Bottle full of juice,bottle,juice,in
Memory in neurons,memory,neurons,in
Cash in bag,cash,bag,in
Products in hamper,products,hamper,in
Flask contains broth,flask,broth,in
Journal inside box,journal,box,in
Sample in silver crucible,sample,silver crucible,in
Stocks in retirement account,stocks,retirement account,in
Soup in dish,soup,dish,in
Bottle full of honey,bottle,honey,in
Pack of cigarettes,pack,cigarettes,in
Bottle full snake oil,bottle,snake oil,in
Disk inside jewel case,disk,jewel case,in
Bottle full of teeth,bottle,teeth,in
Tumour inside bag,tumour,bag,in
Pictures in box,pictures,box,in
Trash bag with money,trash bag,money,in
Sword in case,sword,case,in
Tea in bag,tea,bag,in
Kapok fiber in plastic packets,kapok fiber,plastic packets,in
Body in cypress coffin,body,cypress coffin,in
Bones in freezer,bones,freezer,in
Suitcase full of cocaine,suitcase,cocaine,in
Lawsonite in platinum crucible,lawsonite,platinum crucible,in
Dress in trunk,dress,trunk,in
Explosive in condom,explosive,condom,in
Clothes in box,clothes,box,in
Groceries in basket,groceries,basket,in
Eggs in dish,eggs,dish,in
Lithium in stainless steel tray,lithium,stainless steel tray,in
Poem in certificate holder,poem,certificate holder,in
List in safe,list,safe,in
Grenade in tin,grenade,tin,in
Suitcase full of bills,suitcase,bills,in
Bottle full of air,bottle,air,in
Suitcase with pajamas,suitcase,pajamas,in
Bomb in handcart,bomb,handcart,in
Bomb inside can,bomb,can,in
Suitcase full of clothing,suitcase,clothing,in
Mobile in belly,mobile,belly,in
Game in bin,game,bin,in
Tooth in cup,tooth,cup,in
Box contains present,box,present,in
Basket holds ears,basket,ears,in
Sample in glass tube,sample,glass tube,in
Bomb in can,bomb,can,in
