simplified_sentence,head_entity,tail_entity,relation
"the hinge caused a crack on the left side of my kindle, and amazon has been horrible about helping with this issue.",hinge,crack,cause_effect
"more than thirty people lost their lives in june, in the disaster caused by torrential rains in hiroshima prefecture, and in september more than thirty people lost their lives in the damage caused by the typhoon that swept through various regions, centering on kumamoto prefecture.",disaster,rains,cause_effect
"losing land to new white settlers, non-payment, past broken treaties, plus food shortages and famine following crop failure led to great discontent among the dakota people.",famine,failure,cause_effect
licenses and permits are revenues from the selling of vendor and dog licenses and other items.,revenues,selling,cause_effect
"ordinary warts on the hands and feet are caused by viruses, which only affect humans.",warts,viruses,cause_effect
diabetes drug shows promise for preventing brain injury from radiation therapy.,injury,therapy,cause_effect
the act of repeated hand washing is the compulsive behavior performed in an attempt to remove the anxiety caused by the obsessive thought.,anxiety,thought,cause_effect
the massacre resulted in a local and international onslaught.,massacre,onslaught,cause_effect
the lymphomas are caused by neoplastic proliferation of cells in the lymphoid system.,lymphomas,proliferation,cause_effect
"and this is frequently cited as ""proof"" that saturated fats and cholesterol cause heart disease.",cholesterol,disease,cause_effect
an agenda of deeper reforms can boost public confidence even as it undoes a lot of the distress caused by the financiers and bankers.,distress,bankers,cause_effect
"high blood pressure is caused by a narrowing of the arteries, which means the heart has to work harder in order to push the blood through.",pressure,narrowing,cause_effect
"the relative calm produced by the shia ceasefire has coincided with what the cia is now calling the ""near strategic defeat"" of al-qaeda in iraq.",calm,ceasefire,cause_effect
"a significant portion of head and neck cancers, anal cancers, and cancer of the larynx are caused by the human papillomavirus.",cancers,papillomavirus,cause_effect
american skiier lindsey vonn denied downhill treble as fog caused cancellation in val d'isere.,fog,cancellation,cause_effect
infection starts with manual execution of the binary.,infection,execution,cause_effect
xanax works by changing brain chemicals that cause stress and anxiety.,chemicals,anxiety,cause_effect
"the resulting anti-social behaviour from alcohol consumption is an on-going matter that the town and the police continue to address, particularly in the summer months.",behaviour,consumption,cause_effect
the nnt and nnh are useful indices to describe the trade-off between the benefit and the harm produced by a new treatment.,harm,treatment,cause_effect
chronic daily headaches are tension headaches or headaches which are caused by taking too many pain killers.,headaches,pain killers,cause_effect
student protests are turning into a twitter revolution in moldova.,protests,revolution,cause_effect
"the brown areas are caused by drought, brown patch, take-all-patch, chinch bugs or grubs.",brown areas,drought,cause_effect
lenin and the other leaders of the soviet union set about repairing the damage caused by the revolution and the civil war.,damage,war,cause_effect
the magnetic field is generated by an electric current circulating in the star's interior.,magnetic field,current,cause_effect
"when they took the floor against a team favored to win the national championship, the patriots radiated carefree confidence.",patriots,confidence,cause_effect
many of the 550 deaths are directly and intentionally caused by the physician but not reported as euthanasia because they lacked consent.,deaths,physician,cause_effect
"13, students were evacuated from conrad residence for approximately 15 minutes after burnt food in one of the kitchens set off the fire alarm.",burnt food,alarm,cause_effect
world practices have shown that often local authorities are quicker to respond to the natural disasters caused by the climate change.,disasters,change,cause_effect
the hawke's bay herald building was completely destroyed by the fire after the earthquake.,fire,earthquake,cause_effect
"continuous improvement starts with measuring process performance, and instigating a robust process for reviewing further changes logically and quickly.",improvement,measuring,cause_effect
"liver cancer caused by hbv virus is among the first three causes of death from cancer in men, and a major cause of cancer in women.",cancer,virus,cause_effect
"the consequences of the injuries caused by the bike-accident in february, fractures in the area of head and neck, unfortunately have turned out to be still too severe.",injuries,bike-accident,cause_effect
the reactor meltdown caused a chain reaction that destroyed all the towers in the network.,meltdown,reaction,cause_effect
the 100 mhz rf signal for the amplitude modulator was derived from a pulse pattern generator (ppg).,signal,generator,cause_effect
"fog, rain, darkness, and or blowing snow lead to disorientation.",fog,disorientation,cause_effect
diet fizzy drinks and meat cause heart disease and diabetes.,drinks,diabetes,cause_effect
"the moisturizers' primary function is to keep skin moist, minimize wrinkles from dryness, smoothe and soften skin, and to deliver other ingredients, like sunscreen, that benefit the skin.",wrinkles,dryness,cause_effect
alfred nobel created his fortune from the selling of explosives that utilized nitroglycerin.,fortune,selling,cause_effect
rains and melting snow lead to genesee county's biggest sewage spill of the year.,snow,spill,cause_effect
"over 90% of the cases of ringworm of the scalp are caused by trichophyton tonsurans, a fungus that infects the hairs and causes them to break.",ringworm,fungus,cause_effect
"when a tsunami is generated by a strong offshore earthquake, its first waves would reach the outer coast minutes after the ground stops shaking.",tsunami,earthquake,cause_effect
"thus, evaluating capital punishment as a form of retribution is reduced by sellin to merely estimating the proportion of capital murders that result in execution.",murders,execution,cause_effect
asia feels the pain caused by the crisis but could be poised for rapid recovery.,pain,crisis,cause_effect
"in one day, the red crescent treated more than 50 injuries - mainly broken bones caused by panic from aftershocks.",panic,aftershocks,cause_effect
