simplified_sentence,head,tail,relation
Hinge caused crack,hinge,crack,cause_effect
Rains caused disaster,disaster,rains,cause_effect
Failure led famine,famine,failure,cause_effect
Selling generates revenues,revenues,selling,cause_effect
Viruses cause warts,warts,viruses,cause_effect
Therapy prevents injury,injury,therapy,cause_effect
Thought caused anxiety,anxiety,thought,cause_effect
Massacre resulted onslaught,massacre,onslaught,cause_effect
Proliferation caused lymphomas,lymphomas,proliferation,cause_effect
Cholesterol cause disease,cholesterol,disease,cause_effect
Bankers caused distress,distress,bankers,cause_effect
Narrowing caused pressure,pressure,narrowing,cause_effect
Ceasefire produced calm,calm,ceasefire,cause_effect
Papillomavirus caused cancers,cancers,papillomavirus,cause_effect
Fog caused cancellation,fog,cancellation,cause_effect
Execution starts infection,infection,execution,cause_effect
Chemicals cause anxiety,chemicals,anxiety,cause_effect
Consumption resulted behaviour,behaviour,consumption,cause_effect
Treatment produced harm,harm,treatment,cause_effect
Pain killers caused headaches,headaches,pain killers,cause_effect
Protests turning revolution,protests,revolution,cause_effect
Drought caused brown areas,brown areas,drought,cause_effect
War caused damage,damage,war,cause_effect
Current generated magnetic field,magnetic field,current,cause_effect
Patriots radiated confidence,patriots,confidence,cause_effect
Physician caused deaths,deaths,physician,cause_effect
Burnt food set alarm,burnt food,alarm,cause_effect
Change caused disasters,disasters,change,cause_effect
Earthquake caused fire,fire,earthquake,cause_effect
Measuring starts improvement,improvement,measuring,cause_effect
Virus caused cancer,cancer,virus,cause_effect
Bike-accident caused injuries,injuries,bike-accident,cause_effect
Meltdown caused reaction,reaction,meltdown,cause_effect
Generator derived signal,signal,generator,cause_effect
Fog lead disorientation,fog,disorientation,cause_effect
Drinks cause diabetes,drinks,diabetes,cause_effect
Dryness minimize wrinkles,wrinkles,dryness,cause_effect
Selling created fortune,fortune,selling,cause_effect
Snow lead spill,snow,spill,cause_effect
Fungus caused ringworm,ringworm,fungus,cause_effect
Earthquake generated tsunami,tsunami,earthquake,cause_effect
Murders result execution,murders,execution,cause_effect
Crisis caused pain,pain,crisis,cause_effect
Aftershocks caused panic,panic,aftershocks,cause_effect
Destruction triggered invasions,invasions,destruction,cause_effect
Cigarettes cause nausea,cigarettes,nausea,cause_effect
Rains caused increase,increase,rains,cause_effect
Dancing find happiness,happiness,dancing,cause_effect
Pain killers caused tension,tension,headaches,cause_effect
Hurricanes mitigate damage,damage,hurricanes,cause_effect
Addiction lead neglect,addiction,neglect,cause_effect
Caffeine withdrawal caused headaches,headaches,caffeine withdrawal,cause_effect
Faults caused cancellations,faults,cancellations,cause_effect
War caused insecurity,insecurity,war,cause_effect
Stress causes tension,tension,headaches,cause_effect
Anxiety reaction caused cramps,cramps,anxiety reaction,cause_effect
Hitting jackpot joy,joy,hitting,cause_effect
Bombing caused destruction,destruction,bombing,cause_effect
Spell caused threat,threat,spell,cause_effect
Charge source field,charge,field,cause_effect
Corruption lead outrage,outrage,corruption,cause_effect
Earthquake caused buckling,buckling,earthquake,cause_effect
Radiation induced recurrence,recurrence,radiation,cause_effect
Injury caused discomfort,discomfort,injury,cause_effect
Device instigates termination,device,termination,cause_effect
Radiation exposures caused cancers,cancers,radiation exposures,cause_effect
Crisis caused damage,damage,crisis,cause_effect
Earthquake caused marsh,earthquake,marsh,cause_effect
Operation resulted arrest,operation,arrest,cause_effect
Breakthroughs bring progress,progress,breakthroughs,cause_effect
Advertisements resulted murders,advertisements,murders,cause_effect
Wound came infection,infection,wound,cause_effect
Ointment caused discomfort,discomfort,ointment,cause_effect
Lavas lead eruption,lavas,eruption,cause_effect
Accident poorly evacuation,evacuation,accident,cause_effect
Incubation produces reduction,incubation,reduction,cause_effect
Amphibolites developed properties,properties,amphibolites,cause_effect
Bombing produced carnage,bombing,carnage,cause_effect
Virus caused warts,warts,virus,cause_effect
Depression caused insomnia,insomnia,depression,cause_effect
Soaps caused irritation,irritation,soaps,cause_effect
Colds caused fevers,fevers,colds,cause_effect
Purchase greater satisfaction,satisfaction,purchase,cause_effect
Insoles caused spot,insoles,spot,cause_effect
Negligence caused accident,accident,negligence,cause_effect
Shock waves produced afterglow,afterglow,shock waves,cause_effect
Breeding consists concealing,breeding,concealing,cause_effect
Vaccine caused temperature elevation,vaccine,temperature elevation,cause_effect
Experiences stemmed militancy,militancy,experiences,cause_effect
Death caused abandonment,death,abandonment,cause_effect
Developer crafted adventure,developer,adventure,cause_effect
Germs lead sickness,germs,sickness,cause_effect
Inflation resulted profits,profits,inflation,cause_effect
Cow makes sound,cow,sound,cause_effect
Soya farming produces deforestation,soya farming,deforestation,cause_effect
Development arose conflicts,conflicts,development,cause_effect
Recession caused hardship,hardship,recession,cause_effect
Asteroid caused boom,boom,asteroid,cause_effect
Virus causes tonsillitis,virus,tonsillitis,cause_effect
Eruption triggered earthquake,earthquake,eruption,cause_effect
Bacteria caused infection,infection,bacteria,cause_effect
Stress corrosion available,stress,corrosion,cause_effect
Crash caused seismic event,crash,seismic event,cause_effect
Germs cause diarrhea,germs,diarrhea,cause_effect
Fireplace radiating warmth,warmth,fireplace,cause_effect
Heat produced steam,steam,heat,cause_effect
Infections cause rash,infections,rash,cause_effect
Media makes mistake,media,mistake,cause_effect
Loss causes dehydration,dehydration,loss,cause_effect
Acupuncture lasts relief,relief,acupuncture,cause_effect
Grandmother applied poultice,grandmother,poultice,used_by
Surgeon manipulates robot,surgeon,robot,used_by
Microwave used oven,microwave,oven,used_by
Governments used companies,companies,governments,used_by
Group took taxi,group,taxi,used_by
Apparatus using panels,apparatus,panels,used_by
Fisherman enables net,net,fisherman,used_by
Engineer required scale,engineer,scale,used_by
Department applied adjustment,department,adjustment,used_by
Dentist pull drill,dentist,drill,used_by
Photographer took filter,photographer,filter,used_by
Programmer uses language,programmer,language,used_by
Workers utilized crane,workers,crane,used_by
Man uses microphone,man,microphone,used_by
Man took elevator,man,elevator,used_by
Electrician fits belt,electrician,belt,used_by
Professional uses lamp,professional,lamp,used_by
Farmers use plow,farmers,plow,used_by
Students cultivate donations,students,donations,used_by
Burglar used jimmy,jimmy,burglar,used_by
Drivers clicking wheel,drivers,wheel,used_by
Powers threaten sanctions,powers,sanctions,used_by
Representative accessed key,representative,key,used_by
Typewriter permits typist,typewriter,typist,used_by
Battery powered computer,car battery,laptop computer,used_by
Tailor left scissors,tailor,scissors,used_by
General reached train,general,train,used_by
Astronomers using notebook,notebook,astronomers,used_by
Goddess with sword,goddess,sword,used_by
Boy fighting stick,boy,stick,used_by
Programmer using terminal,terminal,programmer,used_by
Boys sawed machine,boys,machine,used_by
Researchers formed process,researchers,process,used_by
Players use bow,instrument,players,used_by
Device joins thread,device,thread,used_by
Outfielder using glove,outfielder,glove,used_by
Virtuoso finds instrument,virtuoso,instrument,used_by
Driver stops torque,driver,torque,used_by
