entity_raw,entity,degree
/m/027rn,Dominican Republic,55
/m/06cx9,Republic,84
/m/017dcd,Mighty Morphin Power Rangers,11
/m/06v8s0,Wendee Lee,12
/m/07s9rl0,Drama,1655
/m/0170z3,American History X,36
/m/01sl1q,Michelle Rodriguez,84
/m/044mz_,Naveen Andrews,79
/m/0cnk2q,Australia national association football team,30
/m/02nzb8,Midfielder,1785
/m/04nrcg,Maldives national football team,13
/m/02sdk9v,Forward,1797
/m/07nznf,Bryan Singer,42
/m/014lc_,Star Trek Nemesis,67
/m/02qyp19,BAFTA Award for Best Original Screenplay,187
/m/02d413,Philadelphia,42
/m/0q9kd,Danny DeVito,89
/m/0184jc,Guy Pearce,93
/m/03q5t,harpsichord,153
/m/07y_7,Violin,285
/m/0gqng,Academy Award for Best Foreign Language Film,114
/m/073hkh,61st Academy Awards,47
/m/0b76d_m,Anonymous,64
/m/029j_,DVD,1695
/m/014_x2,City of Angels,44
/m/012ljv,Gabriel Yared,36
/m/0ds35l9,Bridesmaids,99
/m/05r4w,Portugal,476
/m/015qsq,Serpico,36
/m/02bjrlw,Italian Language,177
/m/04bdxl,Catherine Keener,124
/m/02s2ft,Chris Cooper,87
/m/09c7w0,United States of America,8642
/m/0rs6x,St. Augustine,7
/m/079vf,Stan Lee,66
/m/0d90m,X-Men,58
/m/015zyd,California Institute of the Arts,39
/m/05vsxz,Chiwetel Ejiofor,96
/m/06qgvf,Carla Gugino,45
/m/04ljl_l,Razzie Award for Worst Supporting Actor,217
/m/03qcfvw,G.I. Joe: The Rise of Cobra,52
/m/0grwj,Oprah Winfrey,57
/m/05sxg2,Theatrical producer,26
/m/0rh6k,"Washington, D.C.",225
/m/01lp8,Christianity,125
/m/05d7rk,Saeed Jaffrey,17
/m/027dtxw,BAFTA Award for Best Actor in a Supporting Role,284
/m/05hs4r,Heartland rock,19
/m/01pbxb,Bob Seger,38
/m/03qcq,Hunter S. Thompson,33
/m/084w8,William Faulkner,48
/m/01lxd4,Avant-garde jazz,9
/m/0f0y8,John Coltrane,45
/m/08815,Yale University,140
/m/05bnp0,James Franco,88
/m/0g56t9t,Frankenweenie,86
/m/0160w,Bahamas,56
/m/02vk52z,World Bank,195
/m/0dbpyd,Alan Burnett,35
/m/053y0s,Bill Payne,29
/m/0dz3r,Record producer-GB,370
/m/016qtt,Billy Ray Cyrus,43
/m/08mbj5d,Official Website,4364
/m/09sh8k,Fantastic Four: Rise of the Silver Surfer,60
/m/09zzb8,Makeup Artist-GB,976
/m/05pd94v,52nd Annual Grammy Awards-US,153
/m/01vvydl,Dr. Dre,89
/m/0gtsx8c,American Reunion,76
/m/0jgd,Argentina,510
/m/02r0csl,BAFTA Award for Best Makeup & Hair,146
/m/0m313,Shakespeare in Love,132
/m/02y_lrp,The Love Guru,58
/m/012d40,Jackie Chan,59
/m/034qmv,Around the World in 80 Days,61
/m/07rlg,Triathlon,46
/m/0b90_r,Mexico,499
/m/0g22z,Wall Street,42
/m/05b4l5x,Razzie Award for Worst Supporting Actress,204
/m/018js4,Top Gun,35
/m/07fq1y,Rosemary Harris,44
/m/02qgqt,Philip Seymour Hoffman,187
/m/028q6,Dave Brubeck,61
/m/02581q,Grammy Award for Best Classical Crossover Album,34
/m/0sxg4,The Dresser,34
/m/04xvlr,Period piece,497
/m/0fvf9q,Scott Rudin,156
/m/0l6qt,Alan Bennett,39
/m/0jz9f,Miramax Films,128
/m/083shs,The Cider House Rules,61
/m/0njvn,Berrien County,5
/m/09nqf,United States Dollar,4749
/m/0d1tm,Eventing,64
/m/0154j,Belgium,500
/m/01br2w,The Passion of the Christ,34
/m/03rl1g,32nd United States Congress,43
/m/05kkh,Ohio,166
/m/0fbq2n,Oregon Ducks football,21
/m/01r3hr,Running back,259
/m/060bp,Prime minister-GB,152
/m/027nb,Dominica,24
/m/04qvl7,Roger Deakins,54
/m/02vxq9m,Skyfall,134
/m/04yywz,Burt Young,21
/m/0140g4,Rocky V,73
/m/01k7d9,Ray Walston,32
/m/0k049,Beverly Hills,115
/m/02p65p,Don Cheadle,218
/m/0337vz,Larenz Tate,57
/m/06688p,John Barrowman,20
/m/0b2v79,The Untouchables,45
/m/01c0cc,Technical University of Berlin,14
/m/01jc6q,Cabaret,58
/m/040njc,BAFTA Award for Best Film,449
/m/0520r2x,Richard Day,46
