sentence,entity1,entity2,relation
olivia actively trains at yale daily,olivia,yale,studies_at
xavier was born in miami historically,xavier,miami,born_in
plugin is part of network,plugin,network,part_of
rachel diligently studies at nus,rachel,nus,studies_at
henry is married to quinn legally,henry,quinn,married_to
frank is parent of dave,frank,dave,parent_of
carol is married to olivia,carol,olivia,married_to
zane routinely handles docker carefully,zane,docker,uses
karen actively studies at duke,karen,duke,studies_at
jack is married to xavier officially,jack,xavier,married_to
bob is married to wendy officially,bob,wendy,married_to
umar actively learns at epfl,umar,epfl,studies_at
jack securely owns guitar officially,jack,guitar,owns
office is located in oslo currently,office,oslo,located_in
jack is parent of victor,jack,victor,parent_of
mia actively learns at harvard daily,mia,harvard,studies_at
irene regularly leads at zoom now,irene,zoom,works_at
mia is married to frank happily,mia,frank,married_to
umar is married to jack happily,umar,jack,married_to
yasmin currently serves at cisco now,yasmin,cisco,works_at
frank is married to irene happily,frank,irene,married_to
xavier regularly operates tableau effectively,xavier,tableau,uses
victor seriously learns at stanford today,victor,stanford,studies_at
paul daily handles the python effectively,paul,python,uses
paul was born in paris officially,paul,paris,born_in
gallery is located in dallas currently,gallery,dallas,located_in
karen is parent of mia officially,karen,mia,parent_of
zane seriously learns at iisc daily,zane,iisc,studies_at
karen was born in sydney recently,karen,sydney,born_in
karen actively learns at mit,karen,mit,studies_at
sam currently lives in madrid now,sam,madrid,lives_in
stadium is located in seoul today,stadium,seoul,located_in
zane diligently studies at harvard today,zane,harvard,studies_at
sam was born in london officially,sam,london,born_in
frank currently dwells in sydney daily,frank,sydney,lives_in
henry is married to carol legally,henry,carol,married_to
xavier daily handles the pytorch effectively,xavier,pytorch,uses
tina currently resides in denver daily,tina,denver,lives_in
office is located in dubai officially,office,dubai,located_in
paul is parent of wendy officially,paul,wendy,parent_of
valve is part of system today,valve,system,part_of
xavier was born in madrid officially,xavier,madrid,born_in
sam is married to rachel happily,sam,rachel,married_to
mia usually dwells in delhi now,mia,delhi,lives_in
alice is married to sam officially,alice,sam,married_to
umar actively studies at cornell daily,umar,cornell,studies_at
jack actively works at ibm daily,jack,ibm,works_at
rachel currently works at oracle today,rachel,oracle,works_at
zane actively leads at adobe daily,zane,adobe,works_at
xavier is married to henry,xavier,henry,married_to
liam currently lives in lisbon today,liam,lisbon,lives_in
dave diligently learns at iisc now,dave,iisc,studies_at
jack legally owns the console today,jack,console,owns
wendy diligently learns at harvard,wendy,harvard,studies_at
xavier personally owns printer today,xavier,printer,owns
zane is parent of rachel legally,zane,rachel,parent_of
jack was born in vienna historically,jack,vienna,born_in
yasmin was born in oslo recently,yasmin,oslo,born_in
bob diligently learns at ethz daily,bob,ethz,studies_at
airport is located in dubai currently,airport,dubai,located_in
irene seriously learns at iisc daily,irene,iisc,studies_at
rachel usually dwells in london,rachel,london,lives_in
liam was born in lisbon historically,liam,lisbon,born_in
switch is part of vehicle today,switch,vehicle,part_of
module is part of device,module,device,part_of
wendy securely holds the console today,wendy,console,owns
umar is married to victor legally,umar,victor,married_to
dave is parent of liam officially,dave,liam,parent_of
yasmin regularly uses tensorflow carefully,yasmin,tensorflow,uses
frank personally holds the console today,frank,console,owns
sam regularly leads at paypal now,sam,paypal,works_at
xavier is married to grace happily,xavier,grace,married_to
olivia currently serves at google today,olivia,google,works_at
jack regularly operates the git effectively,jack,git,uses
frank securely owns guitar currently,frank,guitar,owns
liam currently serves at google,liam,google,works_at
quinn usually resides in oslo now,quinn,oslo,lives_in
campus is located in oslo officially,campus,oslo,located_in
henry is married to frank legally,henry,frank,married_to
paul was born in london,paul,london,born_in
mia is parent of rachel legally,mia,rachel,parent_of
wendy regularly leads at spotify daily,wendy,spotify,works_at
frank seriously learns at epfl today,frank,epfl,studies_at
henry securely holds the watch currently,henry,watch,owns
jack routinely operates figma effectively,jack,figma,uses
screen is part of drone,screen,drone,part_of
paul is married to jack happily,paul,jack,married_to
frank is married to xavier legally,frank,xavier,married_to
xavier is married to karen happily,xavier,karen,married_to
xavier was born in lisbon officially,xavier,lisbon,born_in
xavier daily operates git today,xavier,git,uses
zane personally holds scooter today,zane,scooter,owns
liam was born in tokyo recently,liam,tokyo,born_in
circuit is part of system currently,circuit,system,part_of
noah is parent of bob legally,noah,bob,parent_of
rachel regularly serves at uber daily,rachel,uber,works_at
center is located in vienna currently,center,vienna,located_in
mia currently serves at nvidia daily,mia,nvidia,works_at
zane is married to olivia happily,zane,olivia,married_to
liam was born in sydney,liam,sydney,born_in
henry personally keeps the car today,henry,car,owns
module is part of platform today,module,platform,part_of
wendy is married to liam,wendy,liam,married_to
henry was born in rome historically,henry,rome,born_in
karen was born in zurich historically,karen,zurich,born_in
henry was born in london officially,henry,london,born_in
office is located in vienna today,office,vienna,located_in
alice is parent of henry officially,alice,henry,parent_of
jack was born in dallas officially,jack,dallas,born_in
zane actively works at ibm,zane,ibm,works_at
victor routinely handles spark carefully,victor,spark,uses
dave is parent of bob biologically,dave,bob,parent_of
library is located in seoul currently,library,seoul,located_in
olivia actively studies at mit now,olivia,mit,studies_at
dave personally keeps the guitar currently,dave,guitar,owns
olivia personally owns printer currently,olivia,printer,owns
quinn actively studies at ucsd now,quinn,ucsd,studies_at
frank daily handles the tableau effectively,frank,tableau,uses
alice currently resides in tokyo today,alice,tokyo,lives_in
bob securely keeps the printer officially,bob,printer,owns
gear is part of platform currently,gear,platform,part_of
tina daily uses the slack effectively,tina,slack,uses
dave regularly uses the git carefully,dave,git,uses
tina is parent of frank legally,tina,frank,parent_of
factory is located in prague officially,factory,prague,located_in
karen usually dwells in zurich daily,karen,zurich,lives_in
emma often lives in boston now,emma,boston,lives_in
module is part of platform currently,module,platform,part_of
office is located in zurich officially,office,zurich,located_in
gallery is located in phoenix currently,gallery,phoenix,located_in
dave diligently learns at stanford daily,dave,stanford,studies_at
sam seriously learns at ucsd daily,sam,ucsd,studies_at
module is part of vehicle today,module,vehicle,part_of
yasmin is parent of tina biologically,yasmin,tina,parent_of
kernel is part of drone currently,kernel,drone,part_of
hospital is located in dallas,hospital,dallas,located_in
grace currently works at airbnb daily,grace,airbnb,works_at
olivia is married to grace happily,olivia,grace,married_to
irene currently leads at ibm today,irene,ibm,works_at
frank usually resides in delhi today,frank,delhi,lives_in
library is located in prague currently,library,prague,located_in
henry is parent of victor officially,henry,victor,parent_of
karen currently works at nvidia now,karen,nvidia,works_at
zane currently leads at airbnb daily,zane,airbnb,works_at
screen is part of robot,screen,robot,part_of
battery is part of device officially,battery,device,part_of
bob is parent of victor legally,bob,victor,parent_of
emma often dwells in vienna,emma,vienna,lives_in
engine is part of aircraft,engine,aircraft,part_of
rachel was born in sydney,rachel,sydney,born_in
dave is married to sam,dave,sam,married_to
henry was born in dallas,henry,dallas,born_in
office is located in dallas currently,office,dallas,located_in
emma was born in dallas officially,emma,dallas,born_in
emma usually lives in seoul now,emma,seoul,lives_in
stadium is located in delhi officially,stadium,delhi,located_in
grace personally owns house today,grace,house,owns
kernel is part of device,kernel,device,part_of
olivia daily operates linux today,olivia,linux,uses
liam often resides in phoenix now,liam,phoenix,lives_in
liam legally keeps camera officially,liam,camera,owns
emma diligently trains at ucsd daily,emma,ucsd,studies_at
henry currently lives in oslo daily,henry,oslo,lives_in
dave is married to liam happily,dave,liam,married_to
carol currently resides in dubai today,carol,dubai,lives_in
xavier is married to wendy legally,xavier,wendy,married_to
sam is married to bob legally,sam,bob,married_to
embassy is located in phoenix,embassy,phoenix,located_in
karen actively studies at epfl today,karen,epfl,studies_at
hospital is located in zurich today,hospital,zurich,located_in
sam usually lives in miami daily,sam,miami,lives_in
carol currently leads at nvidia now,carol,nvidia,works_at
emma currently works at nvidia daily,emma,nvidia,works_at
karen legally keeps the scooter officially,karen,scooter,owns
alice actively serves at uber now,alice,uber,works_at
gallery is located in paris officially,gallery,paris,located_in
umar seriously trains at duke daily,umar,duke,studies_at
paul usually dwells in denver,paul,denver,lives_in
frank often lives in dallas daily,frank,dallas,lives_in
xavier legally keeps the house officially,xavier,house,owns
zane was born in madrid historically,zane,madrid,born_in
umar is parent of emma biologically,umar,emma,parent_of
olivia is married to henry happily,olivia,henry,married_to
alice currently serves at tesla now,alice,tesla,works_at
bob often lives in miami daily,bob,miami,lives_in
sensor is part of cluster currently,sensor,cluster,part_of
yasmin was born in delhi officially,yasmin,delhi,born_in
emma currently serves at uber today,emma,uber,works_at
screen is part of platform currently,screen,platform,part_of
liam is parent of bob biologically,liam,bob,parent_of
quinn diligently learns at mit,quinn,mit,studies_at
xavier is married to irene happily,xavier,irene,married_to
rachel securely holds the laptop today,rachel,laptop,owns
olivia often dwells in miami today,olivia,miami,lives_in
port is located in vienna,port,vienna,located_in
mia is parent of liam,mia,liam,parent_of
carol usually resides in boston daily,carol,boston,lives_in
mia was born in dallas recently,mia,dallas,born_in
dave actively leads at netflix now,dave,netflix,works_at
circuit is part of aircraft currently,circuit,aircraft,part_of
yasmin routinely handles pytorch today,yasmin,pytorch,uses
alice legally owns house officially,alice,house,owns
mia regularly operates the figma effectively,mia,figma,uses
grace regularly serves at microsoft now,grace,microsoft,works_at
sam is married to wendy officially,sam,wendy,married_to
alice actively works at ibm today,alice,ibm,works_at
panel is part of machine today,panel,machine,part_of
quinn usually resides in miami daily,quinn,miami,lives_in
rachel was born in phoenix officially,rachel,phoenix,born_in
jack legally owns printer officially,jack,printer,owns
mia is married to grace happily,mia,grace,married_to
victor is parent of jack,victor,jack,parent_of
mia actively works at samsung now,mia,samsung,works_at
henry routinely handles excel effectively,henry,excel,uses
dave usually resides in london,dave,london,lives_in
emma actively works at adobe now,emma,adobe,works_at
dave is married to rachel happily,dave,rachel,married_to
zane actively leads at siemens now,zane,siemens,works_at
umar was born in zurich,umar,zurich,born_in
