simplified_sentence,head_entity,tail_entity,relation
alice lives in rome,alice,rome,lives_in
henry owns dog,henry,dog,has
emma owns house,emma,house,has
emma owns car,emma,car,has
emma loves alice,emma,alice,loves
bob lives at tokyo,bob,tokyo,lives_in
alice owns bicycle,alice,bicycle,has
bob becomes pilot,bob,pilot,is_a
bob adores carol,bob,carol,loves
bob performs with drums,bob,drums,plays
frank performs with flute,frank,flute,plays
dave plays with guitar,dave,guitar,plays
emma lives in delhi,emma,delhi,lives_in
carol has bag,carol,bag,has
alice has cat,alice,cat,has
henry performs with tennis,henry,tennis,plays
alice lives in berlin,alice,berlin,lives_in
emma is artist,emma,artist,is_a
henry lives in rome,henry,rome,lives_in
carol loves bob,carol,bob,loves
emma adores dog,emma,dog,loves
bob owns car,bob,car,has
dave plays with drums,dave,drums,plays
dave is pilot,dave,pilot,is_a
alice resides in delhi,alice,delhi,lives_in
emma adores carol,emma,carol,loves
henry owns house,henry,house,has
bob plays with tennis,bob,tennis,plays
grace performs with chess,grace,chess,plays
henry lives at madrid,henry,madrid,lives_in
grace performs with piano,grace,piano,plays
bob adores cat,bob,cat,loves
carol plays with drums,carol,drums,plays
henry owns cat,henry,cat,has
carol is dancer,carol,dancer,is_a
bob has phone,bob,phone,has
dave becomes teacher,dave,teacher,is_a
dave lives in oslo,dave,oslo,lives_in
frank resides in london,frank,london,lives_in
emma has book,emma,book,has
emma adores dave,emma,dave,loves
grace has cat,grace,cat,has
dave owns house,dave,house,has
grace becomes chef,grace,chef,is_a
frank adores dave,frank,dave,loves
alice plays with chess,alice,chess,plays
emma loves cat,emma,cat,loves
bob performs with piano,bob,piano,plays
frank resides at oslo,frank,oslo,lives_in
dave has dog,dave,dog,has
bob is teacher,bob,teacher,is_a
grace has bicycle,grace,bicycle,has
alice lives at delhi,alice,delhi,lives_in
grace adores bob,grace,bob,loves
carol is pilot,carol,pilot,is_a
bob performs with chess,bob,chess,plays
grace is dancer,grace,dancer,is_a
grace resides in rome,grace,rome,lives_in
alice has bag,alice,bag,has
bob becomes student,bob,student,is_a
grace becomes dancer,grace,dancer,is_a
henry owns car,henry,car,has
dave becomes doctor,dave,doctor,is_a
henry becomes chef,henry,chef,is_a
dave lives at paris,dave,paris,lives_in
henry resides at rome,henry,rome,lives_in
frank lives at paris,frank,paris,lives_in
bob owns bicycle,bob,bicycle,has
grace adores frank,grace,frank,loves
henry loves frank,henry,frank,loves
alice lives in delhi,alice,delhi,lives_in
carol lives at london,carol,london,lives_in
frank plays with violin,frank,violin,plays
bob is student,bob,student,is_a
dave resides at berlin,dave,berlin,lives_in
alice is teacher,alice,teacher,is_a
emma performs with flute,emma,flute,plays
alice loves frank,alice,frank,loves
emma owns dog,emma,dog,has
carol becomes dancer,carol,dancer,is_a
emma has car,emma,car,has
